,Fighter,W/L,Date,Method,Round,Time,Method Code,Total Fight Time (Sec),KD,Sig. Str. Landed,Sig. Str. Attempted,Sig. Str. %,Total Str. Landed,Total Str. Attempted,Total Str. %,TD Landed,TD Attempted,TD %,Sub. Attempted,Sub. Successful,Sub. %,Ctrl Time (Sec),Opp. KD,Opp. Sig. Str. Landed,Opp. Sig. Str. Attempted,Opp. Sig. Str. %,Opp. Total Str. Landed,Opp. Total Str. Attempted,Opp. Total Str. %,Opp. TD Landed,Opp. TD Attempted,Opp. TD %,Opp. Sub. Attempted,Opp. Sub. Successful,Opp. Sub. %,Opp. Ctrl Time (Sec),Opp. Fighter,Opp. Fighter Code,Target
12,David Abbott,loss,1996-12-07,SUB,1.0,1:22,5,82,1.0,9.0,17.0,0.52,13.0,21.0,0.62,1.0,1.0,1.0,0.0,0.0,N/A,N/A,0.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,N/A,0.0,0.0,N/A,N/A,Steve Nelmark,1002,0
13,David Abbott,loss,1996-12-07,SUB,1.0,1:22,5,82,0.0,4.0,9.0,0.44,9.0,17.0,0.53,0.0,1.0,0.0,1.0,0.0,0,N/A,0.0,5.0,7.0,0.71,16.0,22.0,0.73,0.0,0.0,N/A,0.0,0.0,N/A,N/A,Cal Worsham,153,0
14,David Abbott,win,1996-12-07,KO/TKO,1.0,1:03,2,63,0.0,13.0,28.0,0.46,16.0,32.0,0.5,0.0,0.0,N/A,0.0,0.0,N/A,N/A,0.0,6.0,18.0,0.33,6.0,18.0,0.33,0.0,0.0,N/A,2.0,1.0,0.5,N/A,Don Frye,319,1
15,David Abbott,win,1996-12-07,KO/TKO,1.0,1:03,2,63,1.0,9.0,17.0,0.52,13.0,21.0,0.62,1.0,1.0,1.0,0.0,0.0,N/A,N/A,0.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,N/A,0.0,0.0,N/A,N/A,Steve Nelmark,1002,1
16,David Abbott,win,1996-12-07,KO/TKO,1.0,1:03,2,63,0.0,4.0,9.0,0.44,9.0,17.0,0.53,0.0,1.0,0.0,1.0,0.0,0,N/A,0.0,5.0,7.0,0.71,16.0,22.0,0.73,0.0,0.0,N/A,0.0,0.0,N/A,N/A,Cal Worsham,153,1
17,David Abbott,win,1996-12-07,KO/TKO,1.0,2:51,2,171,0.0,13.0,28.0,0.46,16.0,32.0,0.5,0.0,0.0,N/A,0.0,0.0,N/A,N/A,0.0,6.0,18.0,0.33,6.0,18.0,0.33,0.0,0.0,N/A,2.0,1.0,0.5,N/A,Don Frye,319,1
18,David Abbott,win,1996-12-07,KO/TKO,1.0,2:51,2,171,1.0,9.0,17.0,0.52,13.0,21.0,0.62,1.0,1.0,1.0,0.0,0.0,N/A,N/A,0.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,N/A,0.0,0.0,N/A,N/A,Steve Nelmark,1002,1
19,David Abbott,win,1996-12-07,KO/TKO,1.0,2:51,2,171,0.0,4.0,9.0,0.44,9.0,17.0,0.53,0.0,1.0,0.0,1.0,0.0,0,N/A,0.0,5.0,7.0,0.71,16.0,22.0,0.73,0.0,0.0,N/A,0.0,0.0,N/A,N/A,Cal Worsham,153,1
20,David Abbott,loss,1996-09-20,U-DEC,2.0,3:00,6,780,0.0,21.0,50.0,0.42,27.0,56.0,0.48,0.0,1.0,0.0,0.0,0.0,N/A,N/A,0.0,60.0,94.0,0.63,180.0,216.0,0.83,0.0,1.0,0.0,0.0,0.0,N/A,N/A,Scott Ferrozzo,960,0
21,David Abbott,loss,1996-09-20,U-DEC,2.0,3:00,6,780,0.0,8.0,9.0,0.88,16.0,17.0,0.94,1.0,1.0,1.0,1.0,1.0,1.0,N/A,0.0,0.0,2.0,0.0,3.0,5.0,0.6,0.0,0.0,N/A,0.0,0.0,N/A,N/A,Sam Adkins,948,0
22,David Abbott,win,1996-09-20,SUB,1.0,2:06,5,126,0.0,21.0,50.0,0.42,27.0,56.0,0.48,0.0,1.0,0.0,0.0,0.0,N/A,N/A,0.0,60.0,94.0,0.63,180.0,216.0,0.83,0.0,1.0,0.0,0.0,0.0,N/A,N/A,Scott Ferrozzo,960,1
23,David Abbott,win,1996-09-20,SUB,1.0,2:06,5,126,0.0,8.0,9.0,0.88,16.0,17.0,0.94,1.0,1.0,1.0,1.0,1.0,1.0,N/A,0.0,0.0,2.0,0.0,3.0,5.0,0.6,0.0,0.0,N/A,0.0,0.0,N/A,N/A,Sam Adkins,948,1
24,David Abbott,loss,1995-12-16,U-DEC,1.0,18:00,6,1080,0.0,3.0,6.0,0.5,11.0,16.0,0.69,0.0,0.0,N/A,0.0,0.0,N/A,N/A,0.0,57.0,65.0,0.87,233.0,253.0,0.92,1.0,2.0,0.5,0.0,0.0,N/A,N/A,Dan Severn,260,0
25,David Abbott,loss,1995-12-16,U-DEC,1.0,18:00,6,1080,0.0,1.0,1.0,1.0,3.0,5.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,N/A,0.0,0.0,1.0,0.0,1.0,2.0,0.5,0.0,0.0,N/A,0.0,0.0,N/A,N/A,Steve Jennum,1001,0
26,David Abbott,win,1995-12-16,SUB,1.0,1:14,5,74,0.0,3.0,6.0,0.5,11.0,16.0,0.69,0.0,0.0,N/A,0.0,0.0,N/A,N/A,0.0,57.0,65.0,0.87,233.0,253.0,0.92,1.0,2.0,0.5,0.0,0.0,N/A,N/A,Dan Severn,260,1
27,David Abbott,win,1995-12-16,SUB,1.0,1:14,5,74,0.0,1.0,1.0,1.0,3.0,5.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,N/A,0.0,0.0,1.0,0.0,1.0,2.0,0.5,0.0,0.0,N/A,0.0,0.0,N/A,N/A,Steve Jennum,1001,1
28,David Abbott,loss,1995-07-14,SUB,1.0,17:45,5,1065,0.0,17.0,45.0,0.37,39.0,71.0,0.55,2.0,3.0,0.66,1.0,0.0,0,N/A,0.0,4.0,10.0,0.4,48.0,59.0,0.81,0.0,3.0,0.0,4.0,1.0,0.25,N/A,Oleg Taktarov,846,0
29,David Abbott,loss,1995-07-14,SUB,1.0,17:45,5,1065,0.0,14.0,21.0,0.66,18.0,25.0,0.72,1.0,1.0,1.0,0.0,0.0,N/A,N/A,0.0,1.0,2.0,0.5,12.0,14.0,0.86,0.0,0.0,N/A,0.0,0.0,N/A,N/A,Paul Varelans,866,0
30,David Abbott,loss,1995-07-14,SUB,1.0,17:45,5,1065,2.0,7.0,12.0,0.58,7.0,12.0,0.58,0.0,0.0,N/A,0.0,0.0,N/A,N/A,0.0,0.0,0.0,N/A,0.0,0.0,N/A,0.0,0.0,N/A,0.0,0.0,N/A,N/A,John Matua,549,0
31,David Abbott,win,1995-07-14,KO/TKO,1.0,1:53,2,113,0.0,17.0,45.0,0.37,39.0,71.0,0.55,2.0,3.0,0.66,1.0,0.0,0,N/A,0.0,4.0,10.0,0.4,48.0,59.0,0.81,0.0,3.0,0.0,4.0,1.0,0.25,N/A,Oleg Taktarov,846,1
32,David Abbott,win,1995-07-14,KO/TKO,1.0,1:53,2,113,0.0,14.0,21.0,0.66,18.0,25.0,0.72,1.0,1.0,1.0,0.0,0.0,N/A,N/A,0.0,1.0,2.0,0.5,12.0,14.0,0.86,0.0,0.0,N/A,0.0,0.0,N/A,N/A,Paul Varelans,866,1
33,David Abbott,win,1995-07-14,KO/TKO,1.0,1:53,2,113,2.0,7.0,12.0,0.58,7.0,12.0,0.58,0.0,0.0,N/A,0.0,0.0,N/A,N/A,0.0,0.0,0.0,N/A,0.0,0.0,N/A,0.0,0.0,N/A,0.0,0.0,N/A,N/A,John Matua,549,1
34,David Abbott,win,1995-07-14,KO/TKO,1.0,0:20,2,20,0.0,17.0,45.0,0.37,39.0,71.0,0.55,2.0,3.0,0.66,1.0,0.0,0,N/A,0.0,4.0,10.0,0.4,48.0,59.0,0.81,0.0,3.0,0.0,4.0,1.0,0.25,N/A,Oleg Taktarov,846,1
35,David Abbott,win,1995-07-14,KO/TKO,1.0,0:20,2,20,0.0,14.0,21.0,0.66,18.0,25.0,0.72,1.0,1.0,1.0,0.0,0.0,N/A,N/A,0.0,1.0,2.0,0.5,12.0,14.0,0.86,0.0,0.0,N/A,0.0,0.0,N/A,N/A,Paul Varelans,866,1
36,David Abbott,win,1995-07-14,KO/TKO,1.0,0:20,2,20,2.0,7.0,12.0,0.58,7.0,12.0,0.58,0.0,0.0,N/A,0.0,0.0,N/A,N/A,0.0,0.0,0.0,N/A,0.0,0.0,N/A,0.0,0.0,N/A,0.0,0.0,N/A,N/A,John Matua,549,1
37,Shamil Abdurakhimov,loss,2023-01-21,KO/TKO,2.0,2:56,2,776,0.0,1.0,1.0,1.0,3.0,3.0,1.0,0.0,0.0,N/A,0.0,0.0,N/A,0.0,0.0,45.0,57.0,0.78,89.0,110.0,0.81,3.0,5.0,0.6,0.0,0.0,N/A,448.0,Jailton Almeida,465,0
38,Shamil Abdurakhimov,loss,2022-03-19,KO/TKO,1.0,4:03,2,243,0.0,17.0,34.0,0.5,17.0,34.0,0.5,0.0,1.0,0.0,0.0,0.0,N/A,0.0,1.0,21.0,47.0,0.44,22.0,48.0,0.46,0.0,0.0,N/A,0.0,0.0,N/A,12.0,Sergei Pavlovich,969,0
39,Shamil Abdurakhimov,loss,2021-09-25,KO/TKO,2.0,1:23,2,683,0.0,23.0,63.0,0.36,23.0,63.0,0.37,0.0,0.0,N/A,0.0,0.0,N/A,0.0,2.0,38.0,93.0,0.4,38.0,93.0,0.41,0.0,0.0,N/A,0.0,0.0,N/A,48.0,Chris Daukaus,196,0
40,Shamil Abdurakhimov,loss,2019-09-07,KO/TKO,2.0,2:22,2,742,0.0,3.0,8.0,0.37,3.0,8.0,0.38,0.0,0.0,N/A,0.0,0.0,N/A,0.0,0.0,25.0,43.0,0.58,46.0,74.0,0.62,5.0,5.0,1.0,0.0,0.0,N/A,367.0,Curtis Blaydes,241,0
41,Shamil Abdurakhimov,win,2019-04-20,KO/TKO,2.0,3:15,2,795,1.0,36.0,87.0,0.41,36.0,87.0,0.41,0.0,3.0,0.0,0.0,0.0,N/A,0.0,0.0,28.0,70.0,0.4,28.0,70.0,0.4,0.0,0.0,N/A,0.0,0.0,N/A,0.0,Marcin Tybura,719,1
42,Shamil Abdurakhimov,win,2018-09-15,U-DEC,3.0,5:00,6,1200,0.0,32.0,70.0,0.45,67.0,108.0,0.62,2.0,4.0,0.5,0.0,0.0,N/A,206.0,0.0,18.0,58.0,0.31,27.0,71.0,0.38,2.0,3.0,0.66,0.0,0.0,N/A,18.0,Andrei Arlovski,66,1
43,Shamil Abdurakhimov,win,2017-11-25,KO/TKO,1.0,1:24,2,84,1.0,6.0,10.0,0.6,6.0,10.0,0.6,0.0,0.0,N/A,0.0,0.0,N/A,1.0,0.0,5.0,13.0,0.38,5.0,13.0,0.38,0.0,0.0,N/A,0.0,0.0,N/A,0.0,Chase Sherman,188,1
44,Shamil Abdurakhimov,loss,2016-12-09,KO/TKO,4.0,3:42,2,1422,0.0,15.0,37.0,0.4,77.0,106.0,0.73,4.0,11.0,0.36,1.0,0.0,0,452.0,0.0,39.0,90.0,0.43,46.0,97.0,0.47,1.0,3.0,0.33,0.0,0.0,N/A,102.0,Derrick Lewis,304,0
45,Shamil Abdurakhimov,win,2016-10-01,S-DEC,3.0,5:00,4,1200,0.0,47.0,128.0,0.36,52.0,135.0,0.39,1.0,8.0,0.12,0.0,0.0,N/A,44.0,0.0,33.0,98.0,0.33,36.0,101.0,0.36,0.0,0.0,N/A,1.0,0.0,0,29.0,Walt Harris,1098,1
46,Shamil Abdurakhimov,win,2016-02-21,U-DEC,3.0,5:00,6,1200,0.0,62.0,104.0,0.59,89.0,132.0,0.67,0.0,2.0,0.0,0.0,0.0,N/A,4.0,0.0,40.0,77.0,0.51,48.0,86.0,0.56,0.0,4.0,0.0,0.0,0.0,N/A,15.0,Anthony Hamilton,75,1
47,Shamil Abdurakhimov,loss,2015-04-04,KO/TKO,1.0,4:57,2,297,0.0,9.0,25.0,0.36,11.0,27.0,0.41,0.0,1.0,0.0,0.0,0.0,N/A,31.0,0.0,22.0,59.0,0.37,33.0,72.0,0.46,1.0,2.0,0.5,0.0,0.0,N/A,57.0,Timothy Johnson,1046,0
48,Juan Adams,loss,2020-02-08,KO/TKO,1.0,1:59,2,119,0.0,7.0,11.0,0.63,7.0,11.0,0.64,0.0,0.0,N/A,0.0,0.0,N/A,0.0,1.0,10.0,15.0,0.66,10.0,15.0,0.67,0.0,0.0,N/A,0.0,0.0,N/A,2.0,Justin Tafa,598,0
49,Juan Adams,loss,2019-07-20,KO/TKO,1.0,0:45,2,45,0.0,3.0,7.0,0.42,3.0,7.0,0.43,0.0,1.0,0.0,0.0,0.0,N/A,0.0,0.0,36.0,38.0,0.94,36.0,38.0,0.95,0.0,0.0,N/A,0.0,0.0,N/A,17.0,Greg Hardy,409,0
50,Juan Adams,loss,2019-05-04,U-DEC,3.0,5:00,6,1200,0.0,81.0,185.0,0.43,107.0,212.0,0.5,0.0,0.0,N/A,0.0,0.0,N/A,84.0,0.0,41.0,62.0,0.66,69.0,94.0,0.73,2.0,2.0,1.0,0.0,0.0,N/A,318.0,Arjan Bhullar,96,0
51,Juan Adams,win,2018-12-15,KO/TKO,3.0,0:58,2,958,0.0,86.0,144.0,0.59,121.0,180.0,0.67,2.0,2.0,1.0,0.0,0.0,N/A,276.0,0.0,41.0,76.0,0.53,46.0,81.0,0.57,1.0,2.0,0.5,0.0,0.0,N/A,59.0,Chris de la Rocha,206,1
52,Juan Adams,win,2018-07-31,KO/TKO,1.0,4:17,2,257,0.0,57.0,73.0,0.78,82.0,102.0,0.8,0.0,0.0,N/A,0.0,0.0,N/A,N/A,0.0,6.0,14.0,0.42,6.0,14.0,0.43,0.0,3.0,0.0,0.0,0.0,N/A,N/A,Shawn Teed,985,1
53,Israel Adesanya,loss,2023-09-09,U-DEC,5.0,5:00,6,1800,0.0,94.0,271.0,0.34,94.0,271.0,0.35,0.0,0.0,N/A,0.0,0.0,N/A,0.0,1.0,137.0,259.0,0.52,137.0,259.0,0.53,0.0,0.0,N/A,0.0,0.0,N/A,14.0,Sean Strickland,965,0
54,Israel Adesanya,win,2023-04-08,KO/TKO,2.0,4:21,2,861,1.0,41.0,96.0,0.42,41.0,96.0,0.43,0.0,0.0,N/A,0.0,0.0,N/A,3.0,0.0,49.0,85.0,0.57,49.0,85.0,0.58,0.0,0.0,N/A,0.0,0.0,N/A,0.0,Alex Pereira,32,1
55,Israel Adesanya,loss,2022-11-12,KO/TKO,5.0,2:01,2,1621,0.0,86.0,162.0,0.53,119.0,209.0,0.57,1.0,4.0,0.25,0.0,0.0,N/A,394.0,0.0,91.0,157.0,0.57,140.0,214.0,0.65,1.0,1.0,1.0,0.0,0.0,N/A,31.0,Alex Pereira,32,0
56,Israel Adesanya,win,2022-07-02,U-DEC,5.0,5:00,6,1800,0.0,116.0,230.0,0.5,163.0,277.0,0.59,0.0,0.0,N/A,0.0,0.0,N/A,0.0,0.0,90.0,157.0,0.57,141.0,217.0,0.65,0.0,4.0,0.0,0.0,0.0,N/A,254.0,Jared Cannonier,488,1
57,Israel Adesanya,win,2022-02-12,U-DEC,5.0,5:00,6,1800,1.0,79.0,169.0,0.46,98.0,188.0,0.52,0.0,0.0,N/A,0.0,0.0,N/A,0.0,0.0,59.0,136.0,0.43,74.0,151.0,0.49,4.0,10.0,0.4,0.0,0.0,N/A,220.0,Robert Whittaker,919,1
58,Israel Adesanya,win,2021-06-12,U-DEC,5.0,5:00,6,1800,0.0,96.0,181.0,0.53,122.0,208.0,0.59,0.0,0.0,N/A,0.0,0.0,N/A,36.0,0.0,58.0,176.0,0.32,91.0,211.0,0.43,4.0,14.0,0.28,0.0,0.0,N/A,415.0,Marvin Vettori,745,1
59,Israel Adesanya,loss,2021-03-06,U-DEC,5.0,5:00,6,1800,0.0,78.0,161.0,0.48,99.0,182.0,0.54,0.0,0.0,N/A,0.0,0.0,N/A,1.0,0.0,107.0,193.0,0.55,184.0,276.0,0.67,3.0,5.0,0.6,0.0,0.0,N/A,426.0,Jan Blachowicz,487,0
60,Israel Adesanya,win,2020-09-26,KO/TKO,2.0,3:59,2,839,1.0,55.0,84.0,0.65,55.0,84.0,0.65,0.0,0.0,N/A,0.0,0.0,N/A,9.0,0.0,12.0,26.0,0.46,12.0,26.0,0.46,0.0,0.0,N/A,0.0,0.0,N/A,1.0,Paulo Costa,867,1
61,Israel Adesanya,win,2020-03-07,U-DEC,5.0,5:00,6,1800,0.0,48.0,132.0,0.36,48.0,132.0,0.36,0.0,0.0,N/A,0.0,0.0,N/A,0.0,0.0,40.0,89.0,0.44,40.0,89.0,0.45,0.0,3.0,0.0,0.0,0.0,N/A,0.0,Yoel Romero,1113,1
62,Israel Adesanya,win,2019-10-05,KO/TKO,2.0,3:33,2,813,2.0,40.0,95.0,0.42,40.0,95.0,0.42,0.0,0.0,N/A,0.0,0.0,N/A,4.0,0.0,32.0,116.0,0.27,32.0,116.0,0.28,0.0,0.0,N/A,0.0,0.0,N/A,0.0,Robert Whittaker,919,1
63,Israel Adesanya,win,2019-04-13,U-DEC,5.0,5:00,6,1800,4.0,109.0,237.0,0.45,119.0,247.0,0.48,0.0,0.0,N/A,2.0,0.0,0,42.0,0.0,91.0,220.0,0.41,92.0,222.0,0.41,1.0,9.0,0.11,0.0,0.0,N/A,81.0,Kelvin Gastelum,625,1
64,Israel Adesanya,win,2019-02-09,U-DEC,3.0,5:00,6,1200,0.0,65.0,132.0,0.49,65.0,132.0,0.49,0.0,0.0,N/A,0.0,0.0,N/A,0.0,0.0,31.0,72.0,0.43,34.0,75.0,0.45,0.0,0.0,N/A,0.0,0.0,N/A,0.0,Anderson Silva,56,1
65,Israel Adesanya,win,2018-11-03,KO/TKO,1.0,4:51,2,291,3.0,13.0,23.0,0.56,15.0,25.0,0.6,0.0,0.0,N/A,0.0,0.0,N/A,10.0,0.0,3.0,14.0,0.21,9.0,23.0,0.39,0.0,7.0,0.0,0.0,0.0,N/A,95.0,Derek Brunson,302,1
66,Israel Adesanya,win,2018-07-06,U-DEC,5.0,5:00,6,1800,0.0,119.0,215.0,0.55,127.0,223.0,0.57,0.0,2.0,0.0,1.0,0.0,0,107.0,0.0,40.0,174.0,0.22,46.0,181.0,0.25,1.0,12.0,0.08,0.0,0.0,N/A,126.0,Brad Tavares,125,1
67,Israel Adesanya,win,2018-04-14,S-DEC,3.0,5:00,4,1200,0.0,57.0,123.0,0.46,67.0,134.0,0.5,0.0,1.0,0.0,0.0,0.0,N/A,0.0,0.0,46.0,154.0,0.29,60.0,169.0,0.36,2.0,6.0,0.33,0.0,0.0,N/A,198.0,Marvin Vettori,745,1
68,Israel Adesanya,win,2018-02-10,KO/TKO,2.0,3:37,2,817,1.0,52.0,75.0,0.69,70.0,94.0,0.74,0.0,0.0,N/A,0.0,0.0,N/A,0.0,0.0,22.0,46.0,0.47,33.0,59.0,0.56,3.0,15.0,0.2,0.0,0.0,N/A,246.0,Rob Wilkinson,916,1
69,Mariya Agapova,loss,2022-09-17,SUB,2.0,2:19,5,739,0.0,39.0,58.0,0.67,84.0,107.0,0.79,0.0,0.0,N/A,1.0,0.0,0.0,29.0,0.0,4.0,14.0,0.28,7.0,20.0,0.35,3.0,7.0,0.42,1.0,1.0,1.0,287.0,Gillian Robertson,404,0
70,Mariya Agapova,loss,2022-03-05,SUB,2.0,3:27,5,807,0.0,16.0,27.0,0.59,72.0,86.0,0.84,0.0,0.0,N/A,0.0,0.0,N/A,40.0,0.0,28.0,42.0,0.66,51.0,74.0,0.69,2.0,5.0,0.4,3.0,1.0,0.3333333333333333,403.0,Maryna Moroz,746,0
71,Mariya Agapova,win,2021-10-09,SUB,3.0,0:53,5,953,1.0,93.0,164.0,0.56,99.0,170.0,0.58,0.0,0.0,N/A,1.0,1.0,1.0,5.0,0.0,62.0,159.0,0.38,63.0,161.0,0.39,0.0,0.0,N/A,0.0,0.0,N/A,35.0,Sabina Mazo,944,1
72,Mariya Agapova,loss,2020-08-22,KO/TKO,2.0,1:38,2,698,0.0,22.0,46.0,0.47,56.0,89.0,0.63,2.0,2.0,1.0,0.0,0.0,N/A,191.0,0.0,24.0,36.0,0.66,41.0,59.0,0.69,2.0,2.0,1.0,0.0,0.0,N/A,150.0,Shana Dobson,977,0
73,Mariya Agapova,win,2020-06-13,SUB,1.0,2:42,5,162,1.0,29.0,52.0,0.55,36.0,59.0,0.61,0.0,0.0,N/A,1.0,1.0,1.0,24.0,0.0,11.0,32.0,0.34,14.0,36.0,0.39,0.0,0.0,N/A,0.0,0.0,N/A,30.0,Hannah Cifers,418,1
74,Mariya Agapova,loss,2019-07-30,U-DEC,3.0,5:00,6,1200,0.0,39.0,80.0,0.48,64.0,112.0,0.57,0.0,1.0,0.0,0.0,0.0,N/A,N/A,0.0,66.0,126.0,0.52,111.0,180.0,0.62,4.0,7.0,0.57,0.0,0.0,N/A,N/A,Tracy Cortez,1064,0
75,Jessica Aguilar,loss,2019-03-30,U-DEC,3.0,5:00,6,1200,0.0,50.0,114.0,0.43,63.0,127.0,0.5,0.0,1.0,0.0,1.0,0.0,0.0,100.0,1.0,118.0,202.0,0.58,129.0,213.0,0.61,0.0,1.0,0.0,0.0,0.0,N/A,181.0,Marina Rodriguez,729,0
76,Jessica Aguilar,loss,2018-11-24,SUB,1.0,3:41,5,221,0.0,9.0,12.0,0.75,11.0,14.0,0.79,0.0,1.0,0.0,0.0,0.0,N/A,47.0,0.0,45.0,58.0,0.77,63.0,79.0,0.8,1.0,3.0,0.33,2.0,1.0,0.5,150.0,Zhang Weili,1132,0
77,Jessica Aguilar,win,2018-07-14,U-DEC,3.0,5:00,6,1200,0.0,128.0,199.0,0.64,138.0,209.0,0.66,0.0,6.0,0.0,0.0,0.0,N/A,94.0,0.0,81.0,190.0,0.42,81.0,190.0,0.43,0.0,2.0,0.0,0.0,0.0,N/A,87.0,Jodie Esquibel,531,1
78,Jessica Aguilar,loss,2017-05-13,U-DEC,3.0,5:00,6,1200,0.0,57.0,106.0,0.53,102.0,154.0,0.66,4.0,5.0,0.8,0.0,0.0,N/A,388.0,0.0,103.0,294.0,0.35,172.0,368.0,0.47,0.0,0.0,N/A,0.0,0.0,N/A,81.0,Cortney Casey,234,0
79,Jessica Aguilar,loss,2015-08-01,U-DEC,3.0,5:00,6,1200,0.0,70.0,189.0,0.37,88.0,210.0,0.42,0.0,3.0,0.0,0.0,0.0,N/A,47.0,0.0,111.0,248.0,0.44,121.0,263.0,0.46,4.0,4.0,1.0,0.0,0.0,N/A,156.0,Claudia Gadelha,213,0
80,Kevin Aguilar,loss,2021-05-15,U-DEC,3.0,5:00,6,1200,0.0,81.0,144.0,0.56,132.0,196.0,0.67,0.0,2.0,0.0,0.0,0.0,N/A,52.0,0.0,99.0,177.0,0.55,114.0,192.0,0.59,3.0,4.0,0.75,0.0,0.0,N/A,185.0,Tucker Lutz,1069,0
